name,yahoo_ticker,isin,country,exchange,sector,enabled
Schindler Ps,SCHP.SW,CH0024638196,CH,SIX,,true
Swisscom AG,SCMN.SW,CH0008742519,CH,SIX,,true
Sandoz Group AG,SDZ.SW,CH1243598427,CH,SIX,,true
Sensirion Holding AG,SENS.SW,CH0406705126,CH,SIX,,true
SF Urban Properties AG,SFPN.SW,CH0032816131,CH,SIX,,true
SFS Group AG,SFSN.SW,CH0239229302,CH,SIX,,true
Siegfried Holding Ltd,SFZN.SW,CH0014284498,CH,SIX,,true
St Galler Kantonalbank AG,SGKN.SW,CH0011484067,CH,SIX,,true
SGS SA,SGSN.SW,CH1256740924,CH,SIX,,true
S H L Telemedicine Ltd,SHLTN.SW,IL0010855885,CH,SIX,,true
SIG Combibloc Group AG,SIGN.SW,CH0435377954,CH,SIX,,true
Sika AG,SIKA.SW,CH0418792922,CH,SIX,,true
SKAN Group AG,SKAN.SW,CH0013396012,CH,SIX,,true
